15.03.2024 - 00:19:17 | Поступил запрос на получение всех продуктов,вызван метод получения всех продуктов: getAllProducts
15.03.2024 - 00:19:44 | Пользователь: example_user передал заказ: Order(id=null, customerUsername=example_user, productInOrderDetails=null, createdAt=null) методу сохранения: saveOrder
15.03.2024 - 00:19:44 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:19:44 | Пользователь: example_user передал детали заказа: ProductInOrderDetails(id=null, order=Order(id=47, customerUsername=example_user, productInOrderDetails=null, createdAt=2024-03-15T00:19:44.277628), product=Product(id=2, imgSrc=http://localhost:8081/product/2/productimg, title=ELLERY X M'O CAPSULE, description=Known for her sculptural takes on traditional tailoring, Australian arbiter of cool Kym Ellery teams up with Moda Operandi., price=22.00, color=red, size=XL, reservedQuantity=0, storeAmount=10), amount=1) методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:19:44 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:19:44 | Пользователь: example_user передал детали заказа: ProductInOrderDetails(id=null, order=Order(id=47, customerUsername=example_user, productInOrderDetails=null, createdAt=2024-03-15T00:19:44.277628), product=Product(id=4, imgSrc=http://localhost:8081/product/4/productimg, title=ELLERY X M'O CAPSULE, description=Known for her sculptural takes on traditional tailoring, Australian arbiter of cool Kym Ellery teams up with Moda Operandi., price=53.00, color=red, size=XL, reservedQuantity=0, storeAmount=14), amount=1) методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:19:49 | Пользователь: example_user передал заказ: Order(id=null, customerUsername=example_user, productInOrderDetails=null, createdAt=null) методу сохранения: saveOrder
15.03.2024 - 00:19:49 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:19:49 | Пользователь: example_user передал детали заказа: ProductInOrderDetails(id=null, order=Order(id=48, customerUsername=example_user, productInOrderDetails=null, createdAt=2024-03-15T00:19:49.749257500), product=Product(id=2, imgSrc=http://localhost:8081/product/2/productimg, title=ELLERY X M'O CAPSULE, description=Known for her sculptural takes on traditional tailoring, Australian arbiter of cool Kym Ellery teams up with Moda Operandi., price=22.00, color=red, size=XL, reservedQuantity=0, storeAmount=10), amount=1) методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:19:49 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:19:49 | Пользователь: example_user передал детали заказа: ProductInOrderDetails(id=null, order=Order(id=48, customerUsername=example_user, productInOrderDetails=null, createdAt=2024-03-15T00:19:49.749257500), product=Product(id=4, imgSrc=http://localhost:8081/product/4/productimg, title=ELLERY X M'O CAPSULE, description=Known for her sculptural takes on traditional tailoring, Australian arbiter of cool Kym Ellery teams up with Moda Operandi., price=53.00, color=red, size=XL, reservedQuantity=0, storeAmount=14), amount=1) методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:19:54 | Пользователь: example_user передал заказ: Order(id=null, customerUsername=example_user, productInOrderDetails=null, createdAt=null) методу сохранения: saveOrder
15.03.2024 - 00:19:54 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:19:54 | Пользователь: example_user передал детали заказа: ProductInOrderDetails(id=null, order=Order(id=49, customerUsername=example_user, productInOrderDetails=null, createdAt=2024-03-15T00:19:54.110640200), product=Product(id=2, imgSrc=http://localhost:8081/product/2/productimg, title=ELLERY X M'O CAPSULE, description=Known for her sculptural takes on traditional tailoring, Australian arbiter of cool Kym Ellery teams up with Moda Operandi., price=22.00, color=red, size=XL, reservedQuantity=0, storeAmount=10), amount=1) методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:20:01 | Пользователь: example_user передал заказ: Order(id=null, customerUsername=example_user, productInOrderDetails=null, createdAt=null) методу сохранения: saveOrder
15.03.2024 - 00:20:01 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:20:01 | Пользователь: example_user передал детали заказа: ProductInOrderDetails(id=null, order=Order(id=50, customerUsername=example_user, productInOrderDetails=null, createdAt=2024-03-15T00:20:01.038700500), product=Product(id=6, imgSrc=http://localhost:8081/product/6/productimg, title=ELLERY X M'O CAPSULE, description=Known for her sculptural takes on traditional tailoring, Australian arbiter of cool Kym Ellery teams up with Moda Operandi., price=47.00, color=red, size=XL, reservedQuantity=0, storeAmount=14), amount=1) методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:22:54 | Пользователь: example_user передал заказ: Order(id=null, customerUsername=example_user, productInOrderDetails=null, createdAt=null) методу сохранения: saveOrder
15.03.2024 - 00:22:54 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:22:54 | Пользователь: example_user передал детали заказа: ProductInOrderDetails(id=null, order=Order(id=51, customerUsername=example_user, productInOrderDetails=null, createdAt=2024-03-15T00:22:54.841011500), product=Product(id=4, imgSrc=http://localhost:8081/product/4/productimg, title=ELLERY X M'O CAPSULE, description=Known for her sculptural takes on traditional tailoring, Australian arbiter of cool Kym Ellery teams up with Moda Operandi., price=53.00, color=red, size=XL, reservedQuantity=0, storeAmount=14), amount=1) методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:28:04 | Поступил запрос на получение всех продуктов,вызван метод получения всех продуктов: getAllProducts
15.03.2024 - 00:28:12 | Пользователь: example_user передал заказ методу сохранения: saveOrder
15.03.2024 - 00:28:12 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:28:12 | Пользователь: example_user передал детали заказа методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:28:12 | Поступил запрос на получение продукта по id,вызван метод получения продукта по id: getProductById
15.03.2024 - 00:28:12 | Пользователь: example_user передал детали заказа методу сохранения деталей заказа: saveProductInOrderDetails
15.03.2024 - 00:28:12 | Пользователь: example_user передал заказ методу сохранения: saveOrder
15.03.2024 - 00:28:12 | Пользователь: example_user передал заказ методу инициализации процесса оплаты: startOrderPayment
